IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi1g64700.1|pacid:21822293	-1.946531631	6.410930954	0.559022605	-3.482026693	0.000497634	0.002759849		Protein of unknown function (DUF1645)	expressed protein
bradi1g64817.1|pacid:21819580	-2.290063196	18.64391263	0.348060533	-6.579496902	4.72E-11	1.18E-09		COBRA-like protein-7 precursor	"COBRA-like protein 7 precursor, putative, expressed"
bradi1g64830.1|pacid:21819887	-1.128284464	24.64057883	0.427438191	-2.639643548	0.008299327	0.028751502	GO:0016757	galacturonosyltransferase-like 7	"glycosyl transferase 8 domain containing protein, putative, expressed"
bradi1g64850.1|pacid:21817616	-1.623341257	629.7061604	0.201622797	-8.051377534	8.19E-16	3.91E-14	GO:0031072	Chaperone DnaJ-domain superfamily protein	"heat shock protein DnaJ, putative, expressed"
bradi1g64950.1|pacid:21820100	-1.637694424	31.27394009	0.357006881	-4.58729092	4.49E-06	4.47E-05	"GO:0016758,GO:0016021"	xylosyltransferase 1	"glycosyltransferase, putative, expressed"
bradi1g64987.1|pacid:21821540	-2.025734817	1.325206183	0.590190027	-3.432343354	0.000598389	0.003238555	"GO:0016491,GO:0008152"	NAD(P)-binding Rossmann-fold superfamily protein	"oxidoreductase, short chain dehydrogenase/reductase family, putative, expressed"
bradi1g65120.1|pacid:21822528	-1.538693921	9.393393179	0.371106903	-4.146228241	3.38E-05	0.000265686		Pentatricopeptide repeat (PPR) superfamily protein	"PPR repeat domain containing protein, putative, expressed"
bradi1g65130.1|pacid:21819936	-2.042414012	43.12912205	0.407708569	-5.009494934	5.46E-07	6.65E-06	"GO:0006952,GO:0009607"	Polyketide cyclase/dehydrase and lipid transport superfamily protein	"cyclase/dehydrase family protein, putative, expressed"
bradi1g65157.1|pacid:21817943	-1.1569862	43.57008402	0.295192344	-3.919431599	8.88E-05	0.000620803		"Protein of unknown function, DUF538"	"DUF538 domain containing protein, putative, expressed"
bradi1g65330.1|pacid:21817331	1.415981646	0.967565429	0.578538477	2.447515078	0.014384511	0.044648761	GO:0003824	ubiquitin activating enzyme 2	"ubiquitin-activating enzyme, putative, expressed"
bradi1g65440.1|pacid:21820581	-1.553340516	88.598178	0.327969672	-4.736232186	2.18E-06	2.33E-05	"GO:0000287,GO:0030976,GO:0003824"	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	"pyruvate decarboxylase isozyme 2, putative, expressed"
bradi1g65510.1|pacid:21816521	-1.863510947	61.61036822	0.303267671	-6.144772845	8.01E-10	1.68E-08		Mitochondrial substrate carrier family protein	"mitochondrial carrier protein, putative, expressed"
bradi1g65520.1|pacid:21815328	-2.712339651	68.58321078	0.34871532	-7.77809146	7.36E-15	3.13E-13	GO:0003824	Protein phosphatase 2C family protein	"protein phosphatase 2C, putative, expressed"
bradi1g65540.1|pacid:21823271	1.446384418	3.045101033	0.507583164	2.849551602	0.00437809	0.017037608	"GO:0004066,GO:0006529"	glutamine-dependent asparagine synthase 1	"asparagine synthetase, putative, expressed"
bradi1g65650.1|pacid:21816148	1.026215954	16.84374603	0.303037562	3.386431531	0.000708079	0.003723973			expressed protein
bradi1g66120.1|pacid:21817513	2.099690708	2.29625764	0.581733019	3.609371723	0.00030694	0.001824261	"GO:0005524,GO:0016887,GO:0016020"	ABC-2 type transporter family protein	"white-brown complex homolog protein, putative, expressed"
bradi1g66240.1|pacid:21819024	1.027205909	83.73904856	0.182602353	5.625370601	1.85E-08	3.03E-07			expressed protein
bradi1g66250.1|pacid:21823169	-1.385174277	178.6754031	0.257260582	-5.384323808	7.27E-08	1.05E-06			expressed protein
bradi1g66280.3|pacid:21821592	1.608839794	24.09458938	0.419993215	3.830632824	0.000127814	0.000853449		Plant protein 1589 of unknown function	"plant-specific domain TIGR01589 family protein, expressed"
bradi1g66527.1|pacid:21821972	3.119849426	12.15854983	0.446491574	6.987476609	2.80E-12	8.49E-11	"GO:0000902,GO:0005524"	heat shock protein 70	"DnaK family protein, putative, expressed"
bradi1g66580.1|pacid:21818997	-1.825556497	3275.052965	0.54809748	-3.330714999	0.000866232	0.004444423			expressed protein
bradi1g66590.1|pacid:21820003	-1.805602519	3683.754323	0.557443463	-3.23907739	0.00119917	0.005845696	"GO:0000902,GO:0005524"	heat shock protein 70	"DnaK family protein, putative, expressed"
bradi1g66640.1|pacid:21818813	1.676908759	194.7938208	0.199611421	8.40086581	4.43E-17	2.43E-15	GO:0005515	XB3 ortholog 1 in Arabidopsis thaliana	"ankyrin repeat family protein, putative, expressed"
bradi1g66670.1|pacid:21823008	1.34017183	32.2799661	0.331109203	4.047522139	5.18E-05	0.000387596			expressed protein
bradi1g66677.2|pacid:21820763	-1.519441307	243.7650455	0.169651384	-8.956256461	3.36E-19	2.36E-17		TRF-like 2	"initiator-binding protein, putative, expressed"
bradi1g66710.2|pacid:21823326	-1.758978413	639.5364504	0.333976213	-5.266777532	1.39E-07	1.91E-06		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
bradi1g66720.1|pacid:21814941	-1.983540745	10.20427153	0.348123961	-5.697800116	1.21E-08	2.05E-07	"GO:0016491,GO:0055114,GO:0005507"	laccase 17	"laccase precursor protein, putative, expressed"
bradi1g66730.1|pacid:21818357	1.386485154	43.07440442	0.223282738	6.209549222	5.31E-10	1.15E-08		ROTUNDIFOLIA like 8	expressed protein
bradi1g66750.2|pacid:21818670	1.411538138	24.88555562	0.280217755	5.037290163	4.72E-07	5.82E-06			expressed protein
bradi1g66770.1|pacid:21817667	-1.273470386	8.541303609	0.363695348	-3.501475595	0.000462689	0.002594478	"GO:0004190,GO:0006508"	Eukaryotic aspartyl protease family protein	"aspartic proteinase nepenthesin precursor, putative, expressed"
bradi1g66780.1|pacid:21815770	-1.52547288	104.7337858	0.226624519	-6.731279078	1.68E-11	4.55E-10		RING-H2 finger C2A	"zinc finger family protein, putative, expressed"
bradi1g66800.1|pacid:21821527	3.176442863	74.82292294	0.423832561	7.494570163	6.65E-14	2.50E-12		Fes1A	expressed protein
bradi1g66890.1|pacid:21818181	-2.004171059	152.5021901	0.393170242	-5.097463758	3.44E-07	4.36E-06	"GO:0016757,GO:0016020"	Protein of unknown function (DUF604)	"fringe-related protein, putative, expressed"
bradi1g66920.1|pacid:21816377	-1.138239436	401.5584663	0.393481078	-2.892742495	0.003818943	0.015264943	GO:0003824	highly ABA-induced PP2C gene 2	"protein phosphatase 2C, putative, expressed"
bradi1g66950.2|pacid:21815880	1.036517215	218.3410494	0.139864184	7.410883804	1.25E-13	4.55E-12	"GO:0004672,GO:0005524,GO:0006468"	Protein kinase superfamily protein	"CAMK_CAMK_like_ULKh_APGy.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
bradi1g67000.1|pacid:21818972	1.044634789	32.13867889	0.236041461	4.425641093	9.62E-06	8.82E-05		Protein of unknown function (DUF3527)	expressed protein
bradi1g67060.1|pacid:21818193	-1.435010378	259.1654137	0.283555286	-5.060778089	4.18E-07	5.19E-06	GO:0005515	SH3 domain-containing protein	"src homology-3 domain protein 3, putative, expressed"
bradi1g67110.1|pacid:21817439	2.077875969	559.3322342	0.157313046	13.20854196	7.83E-40	2.38E-37		Cysteine proteinases superfamily protein	"OTU-like cysteine protease family protein, putative, expressed"
bradi1g67120.1|pacid:21817724	1.18850138	1727.747002	0.17815195	6.671279113	2.54E-11	6.66E-10		maternal effect embryo arrest 59	expressed protein
bradi1g67127.1|pacid:21818055	1.99884445	27.05939295	0.248946147	8.029224292	9.81E-16	4.62E-14		Protein of unknown function (DUF962)	"membrane protein, putative, expressed"
bradi1g67200.1|pacid:21820513	1.145937912	592.5706674	0.158142533	7.246234688	4.29E-13	1.45E-11	GO:0009058	sulfoquinovosyldiacylglycerol 2	"glycosyl transferase, group 1 domain containing protein, expressed"
bradi1g67220.1|pacid:21820348	1.047893495	15.22031294	0.287968371	3.638918714	0.000273785	0.001654108		BTB/POZ domain-containing protein	"B4-BTB2 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with B4 subfamily conserved sequence, expressed"
bradi1g67240.1|pacid:21822562	-1.246811146	1026.561405	0.237961526	-5.239549294	1.61E-07	2.18E-06	"GO:0016833,GO:0009058"	anthranilate synthase 2	"anthranilate synthase component I-1, chloroplast precursor, putative, expressed"
bradi1g67640.1|pacid:21816594	1.675369199	25.71277893	0.281268633	5.956473648	2.58E-09	4.95E-08		Regulator of Vps4 activity in the MVB pathway protein	"DUF292 domain containing protein, expressed"
bradi1g67670.1|pacid:21818796	1.190666689	8.468050146	0.373748349	3.185744342	0.001443821	0.006809592		LYR family of Fe/S cluster biogenesis protein	"LYR motif containing protein, putative, expressed"
bradi1g67680.1|pacid:21822000	1.028883326	16.20834749	0.352842594	2.915983904	0.003545688	0.014394239			expressed protein
bradi1g67720.1|pacid:21816705	-2.487207777	1.938022202	0.590570611	-4.211533272	2.54E-05	0.000206791		Ankyrin repeat family protein	expressed protein
bradi1g67760.1|pacid:21815811	1.41708689	147.1502843	0.351970763	4.026149443	5.67E-05	0.000419789	"GO:0004553,GO:0005975,GO:0005529,GO:0004565,GO:0009341"	beta-galactosidase 8	"beta-galactosidase precursor, putative, expressed"
bradi1g67810.1|pacid:21819403	-1.502582934	5.251532137	0.445132533	-3.375585522	0.000736588	0.003854394	GO:0006629	PATATIN-like protein 6	"PLA IIIA/PLP7, putative, expressed"
bradi1g67840.1|pacid:21817386	-1.45229725	20.90032879	0.448727663	-3.236478094	0.001210145	0.005890467	"GO:0005515,GO:0043531,GO:0006915,GO:0005524"	NB-ARC domain-containing disease resistance protein	"NB-ARC/LRR disease resistance protein, putative, expressed"
bradi1g67980.1|pacid:21823103	2.05064905	890.7257529	0.229020697	8.953990102	3.43E-19	2.40E-17	"GO:0003677,GO:0043565,GO:0005622"	"nuclear factor Y, subunit C4"	"core histone H2A/H2B/H3/H4, putative, expressed"
bradi1g68040.1|pacid:21817003	-1.766801232	93.61443234	0.33582153	-5.261131512	1.43E-07	1.96E-06	"GO:0016491,GO:0008152,GO:0003854,GO:0016616,GO:0006694,GO:0055114,GO:0003824,GO:0050662,GO:0044237,GO:0009058,GO:0008831,GO:0045226"	UDP-D-glucuronate 4-epimerase 2	"UDP-glucuronate 4-epimerase, putative, expressed"
bradi1g68120.1|pacid:21821272	-1.29235915	29.06965058	0.279652853	-4.62129792	3.81E-06	3.86E-05	"GO:0016597,GO:0008152"	ACT domain repeat 8	"ACT domain containing protein, expressed"
bradi1g68210.1|pacid:21822134	-1.876808831	617.0203281	0.320241573	-5.860603335	4.61E-09	8.49E-08		Senescence/dehydration-associated protein-related	"senescence-associated protein, putative, expressed"
bradi1g68260.1|pacid:21822212	-2.368560243	111.9177862	0.402585744	-5.883368396	4.02E-09	7.48E-08			expressed protein
bradi1g68280.1|pacid:21820835	1.320958317	173.2534448	0.234727793	5.62761786	1.83E-08	3.00E-07	"GO:0003779,GO:0005622"	actin depolymerizing factor 5	"actin-depolymerizing factor, putative, expressed"
bradi1g68300.1|pacid:21816947	1.199256805	77.42072912	0.271698733	4.413921232	1.02E-05	9.23E-05	GO:0000062	acyl-CoA-binding domain 3	"acyl CoA binding protein, putative, expressed"
bradi1g68330.1|pacid:21816919	1.343474514	33.19091263	0.321489852	4.178901774	2.93E-05	0.000234931		Pathogenesis-related thaumatin superfamily protein	"thaumatin, putative, expressed"
bradi1g68340.1|pacid:21822108	-2.241351991	67.6580988	0.332140847	-6.748197366	1.50E-11	4.09E-10		Pathogenesis-related thaumatin superfamily protein	"thaumatin-like protein 1 precursor, putative, expressed"
bradi1g68430.1|pacid:21820542	-1.067962747	61.14450701	0.223658397	-4.774972734	1.80E-06	1.96E-05	"GO:0016746,GO:0009058,GO:0016747,GO:0006633,GO:0016020,GO:0008610"	3-ketoacyl-CoA synthase 1	"3-ketoacyl-CoA synthase, putative, expressed"
bradi1g68487.1|pacid:21816436	-1.471142468	308.7584162	0.207194726	-7.100289166	1.24E-12	3.96E-11	"GO:0004672,GO:0005524,GO:0006468,GO:0006950"	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	"protein kinase family protein, putative, expressed"
bradi1g68500.1|pacid:21823530	-1.537535625	414.9444094	0.182416078	-8.428728641	3.49E-17	1.95E-15			expressed protein
bradi1g68570.1|pacid:21820291	1.156643101	6.979904412	0.417681509	2.769198721	0.005619435	0.020864636		zinc finger protein 4	"ZOS3-07 - C2H2 zinc finger protein, expressed"
bradi1g68680.1|pacid:21823224	-1.438244355	26.17472121	0.221510008	-6.492909151	8.42E-11	2.03E-09		DNAse I-like superfamily protein	"endonuclease/exonuclease/phosphatase family domain containing protein, expressed"
bradi1g68830.1|pacid:21821669	1.910847614	182.2630058	0.19855891	9.623580286	6.36E-22	5.70E-20	"GO:0005215,GO:0006857,GO:0016020"	peptide transporter 2	"peptide transporter PTR2, putative, expressed"
bradi1g68837.1|pacid:21823763	1.531637544	329.8401159	0.188748697	8.114692	4.87E-16	2.39E-14	"GO:0005215,GO:0006857,GO:0016020"	peptide transporter 2	"peptide transporter PTR2, putative, expressed"
bradi1g68870.1|pacid:21816718	1.909405647	5.167152717	0.559199268	3.414535311	0.000638909	0.003415706		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g69070.1|pacid:21816014	-2.60398409	153.9854604	0.297153046	-8.763107511	1.90E-18	1.26E-16		Erythronate-4-phosphate dehydrogenase family protein	expressed protein
bradi1g69140.2|pacid:21822822	-1.069046874	56.16596452	0.44461906	-2.404410808	0.016198559	0.048955313		WWE protein-protein interaction domain protein family	"ATP8, putative, expressed"
bradi1g69200.1|pacid:21817839	1.609966259	86.03071337	0.233561879	6.893103727	5.46E-12	1.59E-10		F-box family protein	"OsFBO13 - F-box and other domain containing protein, expressed"
bradi1g69220.1|pacid:21818100	1.045117958	156.901175	0.112195118	9.315182151	1.22E-20	9.54E-19	"GO:0008083,GO:0008283,GO:0005576"	phytosulfokine 2 precursor	"phytosulfokines precursor, putative, expressed"
bradi1g69250.1|pacid:21818258	-1.396934863	70.04036856	0.330421934	-4.227730422	2.36E-05	0.000193978	"GO:0008374,GO:0006629,GO:0004607"	alpha/beta-Hydrolases superfamily protein	"lecithin cholesterol acyltransferase, putative, expressed"
bradi1g69260.1|pacid:21814791	-2.923878392	303.2582039	0.347268021	-8.419659216	3.78E-17	2.11E-15	GO:0016021	heptahelical protein 4	"haemolysin-III, putative, expressed"
bradi1g69290.1|pacid:21816174	-3.313061541	3.149141483	0.569571268	-5.816763819	6.00E-09	1.07E-07	"GO:0004672,GO:0005524,GO:0006468"	Protein kinase superfamily protein	"LYK, putative, expressed"
bradi1g69320.1|pacid:21822290	-1.519843078	28.4785054	0.509485305	-2.983095023	0.002853494	0.012039817	"GO:0005506,GO:0020037"	hemoglobin 1	"non-symbiotic hemoglobin 2, putative, expressed"
bradi1g69330.1|pacid:21823258	-2.101631908	39.04003908	0.477753255	-4.398990249	1.09E-05	9.81E-05	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	allene oxide synthase	"cytochrome P450, putative, expressed"
bradi1g69340.1|pacid:21821851	-1.419042653	60.59807367	0.189427206	-7.491229377	6.82E-14	2.55E-12	"GO:0004672,GO:0005524,GO:0006468"	Protein kinase superfamily protein	"OsWAK25 - OsWAK receptor-like protein kinase, expressed"
bradi1g69407.2|pacid:21822413	-1.741028645	166.5136534	0.126887917	-13.72099636	7.60E-43	2.89E-40	"GO:0003700,GO:0043565,GO:0006355,GO:0005634"	heat shock factor 3	"HSF-type DNA-binding domain containing protein, expressed"
bradi1g69420.1|pacid:21815447	-1.084239104	348.0153557	0.153275231	-7.07380505	1.51E-12	4.76E-11	"GO:0003824,GO:0005992"	UDP-Glycosyltransferase / trehalose-phosphatase family protein	"trehalose-6-phosphate synthase, putative, expressed"
bradi1g69510.1|pacid:21822267	1.004740317	37.90566825	0.241802183	4.155216075	3.25E-05	0.000256271	"GO:0017056,GO:0006913,GO:0005643"	nucleoporin 155	"NUP155, putative, expressed"
bradi1g69530.1|pacid:21818124	-2.443114221	928.8572512	0.147970193	-16.51085379	3.07E-61	2.52E-58	"GO:0004356,GO:0006807,GO:0006542"	glutamine synthase clone F11	"glutamine synthetase, catalytic domain containing protein, expressed"
bradi1g69571.1|pacid:21823115	-1.024337312	49.79697304	0.293286919	-3.492611652	0.000478322	0.002667734		Caleosin-related family protein	"caleosin related protein, putative, expressed"
bradi1g69740.1|pacid:21823003	1.8641502	124.7464475	0.249011885	7.486189659	7.09E-14	2.64E-12			expressed protein
bradi1g69800.1|pacid:21820298	-1.468746134	1.577821453	0.58811588	-2.497375406	0.012511642	0.039979731		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide repeat domain containing protein, putative, expressed"
bradi1g69870.1|pacid:21815307	-1.302076848	280.1794328	0.170861634	-7.620650805	2.52E-14	9.98E-13		microtubule-associated proteins 70-2	"ATMAP70 protein, putative, expressed"
bradi1g69910.6|pacid:21821091	-1.683346268	7.693952368	0.410154313	-4.1041779	4.06E-05	0.00031199		golgi nucleotide sugar transporter 3	"integral membrane protein, putative, expressed"
bradi1g69980.2|pacid:21822018	-2.348339574	3.83668873	0.591153723	-3.97246855	7.11E-05	0.00051073	"GO:0003676,GO:0003677,GO:0006260,GO:0005634"	RPA70-kDa subunit B	"RPA1B - Putative single-stranded DNA binding complex subunit 1, expressed"
bradi1g70010.1|pacid:21823217	1.185027685	16.39724692	0.407681924	2.906745712	0.003652099	0.014723272			
bradi1g70030.1|pacid:21819605	-1.625322845	82.04987157	0.56526496	-2.875329201	0.004036064	0.015986316	"GO:0003676,GO:0003677,GO:0006260,GO:0005634"	replication protein A 1A	"RPA1A - Putative single-stranded DNA binding complex subunit 1, expressed"
bradi1g70170.1|pacid:21815918	1.861158616	17.76931277	0.328939628	5.658055337	1.53E-08	2.53E-07	"GO:0004553,GO:0005975"	beta glucosidase 40	"Os3bglu6 - beta-glucosidase/beta-fucosidase/beta-galactosidase, expressed"
bradi1g70627.1|pacid:21823516	1.446738343	2.261093503	0.547317906	2.643323608	0.008209653	0.02849844	GO:0005634	Cyclin A3;1	"cyclin, putative, expressed"
bradi1g70680.1|pacid:21815363	-2.747708084	7.07225494	0.465984636	-5.896563686	3.71E-09	6.94E-08	GO:0003824	Protein phosphatase 2C family protein	"protein phosphatase 2C, putative, expressed"
bradi1g70700.1|pacid:21822837	-3.841527254	880.0592123	0.370259278	-10.37523564	3.21E-25	3.80E-23	"GO:0046872,GO:0030001"	farnesylated protein 6	"heavy metal-associated domain containing protein, expressed"
bradi1g70730.1|pacid:21815177	-1.973303115	2.780219515	0.539861489	-3.655202596	0.000256979	0.001567445		Disease resistance-responsive (dirigent-like protein) family protein	expressed protein
bradi1g70830.1|pacid:21822937	-1.260074759	16.04533051	0.345360062	-3.648582732	0.000263691	0.001601456	"GO:0005515,GO:0004871,GO:0009416"	Phototropic-responsive NPH3 family protein	"BTBN24 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 domain, expressed"
bradi1g70900.1|pacid:21821476	1.643495456	18.57078205	0.330008242	4.980164877	6.35E-07	7.63E-06		formin homolog 6	"formin-like protein 6 precursor, putative, expressed"
bradi1g70920.1|pacid:21819624	-1.350250755	884.0931847	0.204134061	-6.614529436	3.73E-11	9.51E-10	"GO:0000166,GO:0046872,GO:0003824,GO:0008152,GO:0005516,GO:0016020,GO:0015662,GO:0006812,GO:0006754"	calcium ATPase 2	"calcium-transporting ATPase, plasma membrane-type, putative, expressed"
bradi1g70930.1|pacid:21822842	1.687976828	562.946976	0.297040881	5.682641471	1.33E-08	2.21E-07		alpha/beta-Hydrolases superfamily protein	"hydrolase, alpha/beta fold family domain containing protein, expressed"
bradi1g70970.1|pacid:21820684	-2.446841666	18.00722053	0.334379251	-7.31756428	2.53E-13	8.87E-12	GO:0008270		GRF zinc finger family protein
bradi1g71120.1|pacid:21822470	-1.703732244	243.5275291	0.226841451	-7.510674246	5.88E-14	2.23E-12	GO:0044237	Protein of unknown function (DUF567)	"DUF567 domain containing protein, putative, expressed"
bradi1g71160.1|pacid:21820713	-1.26468988	83.57917288	0.306331294	-4.128503698	3.65E-05	0.00028413	"GO:0004553,GO:0005975"	Arabinanase/levansucrase/invertase	expressed protein
bradi1g71190.1|pacid:21816401	-1.315858368	68.18649818	0.283490007	-4.641639331	3.46E-06	3.54E-05		no pollen germination related 1	"NPGR1, putative, expressed"
bradi1g71210.1|pacid:21815212	-1.446499887	7.839080398	0.391870808	-3.691267267	0.00022314	0.00138588			expressed protein
bradi1g71230.1|pacid:21822542	-2.410320608	2.244333696	0.566061387	-4.258055154	2.06E-05	0.000171885			expressed protein
bradi1g71240.1|pacid:21820449	-1.193964404	3.097978894	0.486358681	-2.454905097	0.014092179	0.043948716		Protein of unknown function (DUF677)	"DUF677 domain containing protein, putative, expressed"
bradi1g71290.1|pacid:21816274	1.199922999	18.7199578	0.286564266	4.187273643	2.82E-05	0.000227729		PPPDE putative thiol peptidase family protein	"ethylene-responsive element-binding protein, putative, expressed"
bradi1g71430.1|pacid:21819787	-2.478889409	100.9633142	0.246598619	-10.0523248	8.97E-24	9.57E-22	"GO:0009001,GO:0006535,GO:0005737"	serine acetyltransferase 2;1	"serine acetyltransferase protein, putative, expressed"
bradi1g71620.1|pacid:21819679	1.075193433	24.82817311	0.316249894	3.399822275	0.000674297	0.003568168		FRIGIDA-like protein	"frigida, putative, expressed"
bradi1g71667.1|pacid:21821273	-1.591236061	1177.188413	0.439607145	-3.619677429	0.00029497	0.001762679	"GO:0004512,GO:0006021,GO:0008654"	myo-inositol-1-phosphate synthase 2	"inositol-3-phosphate synthase, putative, expressed"
bradi1g71740.1|pacid:21816481	-2.707472069	69.63704051	0.317247897	-8.534247503	1.41E-17	8.29E-16	"GO:0003700,GO:0006355"	Integrase-type DNA-binding superfamily protein	"ethylene-responsive transcription factor, putative, expressed"
bradi1g71800.2|pacid:21819012	-1.013252674	85.65928079	0.162519483	-6.234653551	4.53E-10	9.88E-09		Mitochondrial substrate carrier family protein	"mitochondrial carrier protein, putative, expressed"
bradi1g71810.2|pacid:21820955	-1.36990485	671.8814994	0.232696244	-5.887094815	3.93E-09	7.33E-08	"GO:0005515,GO:0005634,GO:0003677,GO:0030528,GO:0006355,GO:0005516"	ethylene induced calmodulin binding protein	"calmodulin-binding transcription activator, putative, expressed"
bradi1g71840.1|pacid:21815164	-1.676570118	172.6040367	0.389000566	-4.309942613	1.63E-05	0.000140381	GO:0005515	Outer arm dynein light chain 1 protein	"leucine rich repeat domain containing protein, putative, expressed"
bradi1g71860.1|pacid:21820107	1.400402941	38.24272244	0.249293909	5.61747757	1.94E-08	3.15E-07	"GO:0004659,GO:0016021"	UbiA prenyltransferase family protein	"prenyltransferase, putative, expressed"
bradi1g71920.1|pacid:21821834	-2.51285942	275.7875389	0.321572889	-7.814276355	5.53E-15	2.38E-13			expressed protein
bradi1g71930.1|pacid:21817952	-2.342214089	39.10322034	0.395025777	-5.929268992	3.04E-09	5.79E-08	"GO:0003700,GO:0043565,GO:0006355,GO:0003677,GO:0005634"	homeobox 3	"homeobox associated leucine zipper, putative, expressed"
bradi1g71950.1|pacid:21822052	-2.470143461	119.0467769	0.38631533	-6.394111936	1.61E-10	3.75E-09			
bradi1g71970.1|pacid:21818570	-2.374325052	16.17671109	0.405947857	-5.848842442	4.95E-09	9.06E-08			
bradi1g71980.1|pacid:21815115	-2.477024926	14.93371441	0.354561776	-6.986158946	2.83E-12	8.55E-11			
bradi1g72007.1|pacid:21819515	-1.420844382	70.01034917	0.434985698	-3.26641632	0.00108918	0.005398132	"GO:0015238,GO:0015297,GO:0006855,GO:0055085,GO:0016020"	MATE efflux family protein	"MATE efflux family protein, putative, expressed"
bradi1g72070.1|pacid:21818493	1.323559272	15.40293135	0.299225332	4.423286171	9.72E-06	8.89E-05		auxin F-box protein 5	"AUXIN SIGNALING F-BOX 2, putative, expressed"
bradi1g72290.1|pacid:21820814	2.137856782	4.145582858	0.547792822	3.902673959	9.51E-05	0.000661893		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g72390.2|pacid:21816368	-1.040708544	390.3886044	0.404392216	-2.573512801	0.010067192	0.033639113		cold regulated gene 27	expressed protein
bradi1g72450.1|pacid:21816870	-1.125368058	747.9223605	0.225346597	-4.993942991	5.92E-07	7.15E-06	"GO:0003700,GO:0006355"	Integrase-type DNA-binding superfamily protein	"AP2 domain containing protein, expressed"
bradi1g72457.1|pacid:21816589	-2.026167809	4.212335411	0.497387584	-4.073619594	4.63E-05	0.000350858	"GO:0003700,GO:0006355"	Integrase-type DNA-binding superfamily protein	"AP2 domain containing protein, expressed"
bradi1g72590.1|pacid:21820770	-1.991823474	527.0154405	0.207993575	-9.576370205	1.01E-21	8.74E-20	GO:0005515	jasmonate-zim-domain protein 1	"ZIM domain containing protein, putative, expressed"
bradi1g72600.1|pacid:21823748	-1.805953808	17.80146047	0.439491128	-4.10919287	3.97E-05	0.000305888	GO:0005515	jasmonate-zim-domain protein 1	"ZIM domain containing protein, putative, expressed"
bradi1g72610.1|pacid:21819669	-2.540568281	19.73232125	0.338442655	-7.506643277	6.07E-14	2.29E-12	GO:0005515	jasmonate-zim-domain protein 11	"ZIM domain containing protein, putative, expressed"
bradi1g72800.1|pacid:21816359	1.626457324	27.01696942	0.326818304	4.976640856	6.47E-07	7.74E-06	GO:0016881	E3 Ubiquitin ligase family protein	expressed protein
bradi1g72820.1|pacid:21816315	1.216181064	4.963485041	0.493652424	2.463638394	0.013753479	0.043103551			expressed protein
bradi1g72940.1|pacid:21815956	1.985113731	68.3711562	0.383679603	5.173883927	2.29E-07	3.02E-06		Mitochondrial substrate carrier family protein	"mitochondrial carrier protein, putative, expressed"
bradi1g73010.1|pacid:21816764	-2.418455747	16.31734118	0.488714263	-4.948608888	7.47E-07	8.84E-06			expressed protein
bradi1g73040.3|pacid:21821957	1.143354837	15.27285287	0.356502521	3.207143768	0.0013406	0.006402313		RING/U-box superfamily protein	"zinc finger, C3HC4 type domain containing protein, expressed"
bradi1g73100.1|pacid:21819211	1.886759706	1.659109558	0.591057254	3.192177566	0.001412045	0.006680476			expressed protein
bradi1g73190.1|pacid:21818712	-1.564289465	0.855745136	0.574868991	-2.721123405	0.006506047	0.02357994	"GO:0003700,GO:0043565,GO:0006355,GO:0003677,GO:0005634"	Homeobox-leucine zipper protein family	"homeobox associated leucine zipper, putative, expressed"
bradi1g73230.1|pacid:21818780	-1.5842934	7.47071452	0.447709029	-3.538667523	0.000402152	0.002303446			expressed protein
bradi1g73670.1|pacid:21819329	-1.735947543	142.3635186	0.201387269	-8.619946805	6.70E-18	4.11E-16			expressed protein
bradi1g73720.1|pacid:21823361	2.541549052	15.87557188	0.369026636	6.887169671	5.69E-12	1.65E-10	"GO:0003735,GO:0006412,GO:0005622,GO:0005840"	Ribosomal L18p/L5e family protein	"ribosomal L18p/L5e family protein, putative, expressed"
bradi1g73750.1|pacid:21815768	2.370066243	6.530019961	0.491336537	4.823712595	1.41E-06	1.56E-05			"OsMADS69 - MADS-box family gene with M-alpha type-box, expressed"
bradi1g73990.1|pacid:21819582	-1.250965496	30.37174234	0.303032302	-4.128158909	3.66E-05	0.000284388	"GO:0016192,GO:0016021"	vesicle-associated membrane protein 726	"vesicle-associated membrane protein, putative, expressed"
bradi1g74270.1|pacid:21821712	2.714154143	18.20216885	0.38209191	7.103406458	1.22E-12	3.89E-11		Protein of unknown function (DUF506) 	"plant-specific domain TIGR01615 family protein, expressed"
